role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Teacher,47,Female,Aliabad,Hunza,weekly,"With the help of technology,learners can access a wealth of information and resources related to demond such as,new vedioes and interactive tools.","Quick information exchange,developing basic skills encouraging love for learning.","Hardware issues, software issuse, internet can interrupt learning.",Yes,Yes,"Enabled more effective communcation, collaboration and shavring of learning material among students through tools.",Yes,"Technology is used in every field of our life like reading, writing, learning, it also inchance our social skills. Technology done our works in a seconds. Now a days technology is mostly used in online marketing.",Yes,Yes,,Yes,Yes,Yes,Yes,Different outdoor activities related to students.,Technology In primary education are very important.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,,,,Yes,Yes,The technology change the way of learning from technology it give us new ideas and elobrate our vocablory it helps us to thing more and increase our knowledge.,Yes,The potential impact of technology in your social skills and relationship their will be a gap between family and family the children keep away from there parent and wastage of time .,Yes,Yes,,Yes,Yes,Yes,Yes,,,not at all,No,Yes,Yes,No,Positive,Negative,Positive,Negative,Positive
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,36,Male,Rural ,Nagar ,several times a week,"It helps educators to improve their teaching methods and allows students to enhance their learning experience
","Incorporate different learning styles
","Reduced social interaction and internet access 
",No,No,"I solve my problems in easy way
",Yes,"Isolation and hindering of students ability 
",Yes,Yes,"Technology acts as a treasure of educational opportunities 
",No,No,No,No,WiFi and internet access ,"May be in Future technology become in the place of humans 
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,29,Female,Rural ,Nagar,daily,"Students learn better 
","It is beneficial for both teachers and students they can easily get information 

","Access to the relevant knowledge, 
support and students engagement ",No,No,"Technology enables new ways of learning 
",No,"Technology totally disturbs the social relationships 
",No,Yes,"Technology provides the platform where everyone can nourish their skills 
",No,No,Yes,No,"Library, Computer Lab and Multimedia 
","Specialized training for teachers in school 
",extremely,Yes,No,Yes,No,Positive,Positive,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,technology is a best for students,,,Yes,Yes,several ways technology was changed,Yes,,Yes,Yes,enhance problem solving capacity,Yes,No,No,Yes,practical and team work,,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Male,Rural ,Nagar ,weekly,"Students can easily understand from technology instead of teachings
","Skill development and awareness of technology 
",Socialization is disturbed ,Yes,No,"Yes I am totally depend on technology 
",Yes,"It has totally changed my social skills and effects on relationships 
",Yes,Yes,"Technology develops skills related to the students needs 
",Yes,Yes,Yes,No,"Computers and LED 
","Traditional teachings will be replaced by technology in Future this may be possible 
",moderately,Yes,No,Yes,Yes,Negative,Negative,Positive,Negative,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Aliabad,Hunza,several times a week,,,,Yes,No,,Yes,,No,Yes,,Yes,Yes,Yes,Yes,,,slightly,Yes,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,daily,,trained teachers related to IT is essentail in primary education,miss  use  of  technology is one of main challengies ,Yes,Yes,before we were depend on teacher but now we are depend on technology,Yes,"sometimes technology creates  social isolation, another problem is he or she adopated other culture",Yes,Yes,use learning Apps and band remaing unwanted applications to develop skill,Yes,Yes,No,Yes,Multimedia and computer and proper internet connection will  benefical,with the change of time technology should be improved,moderately,Yes,No,No,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,43,Male,Aliabad,Hunza,daily,,,,Yes,No,By using technology it is easy to learn more about curriculum.,Yes,The impact of technology on social skill is that decrease of life style it create a gap between the relative one.,Yes,Yes,,Yes,No,No,Yes,,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,34,Female,Nagar Khas,Nagar,daily,through technology students achieve all goals,,,No,No,,No,,No,No, N/A,No,Yes,Yes,Yes,,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Male,Karimabad,Hunza,weekly,,benefits of using technology creat interst for lastest education. ,"Less internet access in our area, old IT technology ues in our country.",Yes,Yes,With the help enhacement curriculum and content and lesson plan,Yes,Social skill increase due to use more technology in our daily life. Give less time for social skills.,Yes,Yes,Researching lastest update curriculium slove technical problem solving to enhance critical thinking in student.,Yes,Yes,Yes,Yes,apply for pratcial life using lastest technology inchancment in technology ,Awarness technology from root level from pirmary education.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,41,Female,Karimabad,Hunza,weekly,,Learn quickly lesson and student give much more importance to technology.,Enhance thinking skills and think on result enciendly.,Yes,Yes,No do not enhance the curriculum content and lose eye sight.,No,Technology disconnect the social skill and relationship.,No,No,Do not support the above mentioned skills.,No,No,No,No,Laptop and LCD,Student will totally divert toward the technology.,moderately,No,No,No,No,Positive,Positive,Negative,Negative,Negative
Teacher,37,Male,Aliabad,Hunza,weekly, NA,Use variety of technology tools and resources.,Limitation:balancing technology   challenges:engage community and parents.,Yes,No,Tecnology changes us because now adays we use it and get many information.,No,Technology impact on our social skill.,Yes,Yes,,Yes,Yes,Yes,No,Tablets and educatinal software.,AI and internet,very,Yes,No,Yes,Yes,Negative,Positive,Positive,Positive,Positive
Teacher,29,Female,Rural ,Nagar,several times a week,"Yes technology should be used in primary section it motivates children 
","Enhancement of knowledge 
","Language barrier,and lack of cooperation 
",Yes,No,"Technology provides easy platforms for us to understand better 
",Yes,"With the help of technology I improved my social skills 
",Yes,Yes,Learning by doing ,Yes,Yes,Yes,No,"Projector, WiFi system and proper electricity 
","Library and internet access 
",extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,41,Female,Aliabad,Hunza,several times a week,,"Digital work,time utilization by use of technological resources.","Electrical problem,time consuming,lack of resources .",Yes,Yes,"Technology has change a lot in our way of learning because we are using technology only to find out problems but we are not using our own mind.it is also very good,we can find out more diffical problem.",Yes,The potiental impact on our social skills and relationship is that we can improve our skills and we can communicate with our relative far form us but it is also making us far from our relatives.,Yes,Yes,,No,Yes,Yes,Yes,"Computer ,laptop and tablet.",It will fulfill the students dream,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,daily,,trained teachers related to IT is essentail in primary education,miss  use  of  technology is one of main challengies ,Yes,Yes,before we were depend on teacher but now we are depend on technology,Yes,"sometimes technology creates  social isolation, another problem is he or she adopated other culture",Yes,Yes,use learning Apps and band remaing unwanted applications to develop skill,Yes,Yes,No,Yes,Multimedia and computer and proper internet connection will  benefical,with the change of time technology should be improved,moderately,Yes,No,No,Yes,Positive,Negative,Positive,Negative,Negative
Parent,37,Female,Nilt nagar,Nagar,monthly,student can use interactive games to reinforce reading skills,enhance memorization,inflation and maintainance,Yes,No,,Yes,enhance learning capacity,Yes,Yes,"problem solving skills, understanding skills",Yes,Yes,Yes,Yes,projector and multimedia,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,The use of technology during whole class interaction can foster. Students can use spelling phonetic and reading skill.,"Students develop crucial skills such as digital literacy, critcal thinking creativity.",Technology in education can reduce face to face social interaction student might also miss developing imporant communication and team works skills.,Yes,No,Student can collabrate on group project using technology based tools use interactive displays to do fun games and with there larning materials .,Yes,The technology impact on our social skill its also impact on ours studys and online works it also impact on skills and relationship.,Yes,Yes,"To improve your crtical thiking, you need to be able to filter verity and synthesize the information you take online .",Yes,Yes,Yes,No,Prepare student for the future we connect with student any time .,Student can practice desnging prolem solving. ,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Positive,Negative
